ticker,stage,model,rmse,mape,da,time,predictions,actual,features_count,features
MOEX,6,LSTM,10.996700919725134,4.886509732318448,55.55555555555556,44.94892604351044,"[194.06603515587003, 194.06603515587003, 194.06603515587003, 194.06603515587003, 194.06603515587003, 194.06603515587003, 194.06603515587003, 194.06603515587003, 194.06603515587003, 194.06603515587003]","[191.61, 197.45, 206.39, 205.01, 209.57, 208.02, 207.16, 207.87, 203.68, 199.6]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
MOEX,6,TCN,10.677913302307804,4.74404274770245,55.55555555555556,40.2100105047226,"[194.43411820921384, 194.43411820921384, 194.43411820921384, 194.43411820921384, 194.43411820921384, 194.43411820921384, 194.43411820921384, 194.43411820921384, 194.43411820921384, 194.43411820921384]","[191.61, 197.45, 206.39, 205.01, 209.57, 208.02, 207.16, 207.87, 203.68, 199.6]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
NVTK,1,LSTM,93.32539444466653,6.936778788427844,44.44444444444444,44.63519172668457,"[1149.8034546716026, 1149.8034546716026, 1149.8034546716026, 1149.8034546716026, 1149.8034546716026, 1149.8034546716026, 1149.8034546716026, 1149.8034546716026, 1149.8034546716026, 1149.8034546716026]","[1190.2, 1219.8, 1193.0, 1237.0, 1244.8, 1235.4, 1249.0, 1314.6, 1266.2, 1214.6]",1,['close']
NVTK,1,TCN,89.1028561692534,6.567307322027068,44.44444444444444,40.06051170825958,"[1154.368303845525, 1154.368303845525, 1154.368303845525, 1154.368303845525, 1154.368303845525, 1154.368303845525, 1154.368303845525, 1154.368303845525, 1154.368303845525, 1154.368303845525]","[1190.2, 1219.8, 1193.0, 1237.0, 1244.8, 1235.4, 1249.0, 1314.6, 1266.2, 1214.6]",1,['close']
NVTK,6,LSTM,86.96092016913771,6.378721451741949,44.44444444444444,47.12161457538605,"[1156.6982971805194, 1156.6982971805194, 1156.6982971805194, 1156.6982971805194, 1156.6982971805194, 1156.6982971805194, 1156.6982971805194, 1156.6982971805194, 1156.6982971805194, 1156.6982971805194]","[1190.2, 1219.8, 1193.0, 1237.0, 1244.8, 1235.4, 1249.0, 1314.6, 1266.2, 1214.6]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
NVTK,6,TCN,93.5560606169712,6.956881345062181,44.44444444444444,41.22303524017334,"[1149.555085995288, 1149.555085995288, 1149.555085995288, 1149.555085995288, 1149.555085995288, 1149.555085995288, 1149.555085995288, 1149.555085995288, 1149.555085995288, 1149.555085995288]","[1190.2, 1219.8, 1193.0, 1237.0, 1244.8, 1235.4, 1249.0, 1314.6, 1266.2, 1214.6]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
PIKK,1,LSTM,53.828077168697845,9.581289828175498,33.33333333333333,44.93808043003082,"[440.224808899185, 440.224808899185, 440.224808899185, 440.224808899185, 440.224808899185, 440.224808899185, 440.224808899185, 440.224808899185, 440.224808899185, 440.224808899185]","[433.2, 450.0, 478.2, 471.4, 504.6, 511.6, 514.2, 516.0, 503.7, 484.2]",1,['close']
PIKK,1,TCN,52.245289630496664,9.286582702948625,33.33333333333333,40.662451124191286,"[442.0671798765526, 442.0671798765526, 442.0671798765526, 442.0671798765526, 442.0671798765526, 442.0671798765526, 442.0671798765526, 442.0671798765526, 442.0671798765526, 442.0671798765526]","[433.2, 450.0, 478.2, 471.4, 504.6, 511.6, 514.2, 516.0, 503.7, 484.2]",1,['close']
PIKK,6,LSTM,39.591860933571205,7.106888099297088,33.33333333333333,47.70285656452179,"[457.8842033556184, 457.8842033556184, 457.8842033556184, 457.8842033556184, 457.8842033556184, 457.8842033556184, 457.8842033556184, 457.8842033556184, 457.8842033556184, 457.8842033556184]","[433.2, 450.0, 478.2, 471.4, 504.6, 511.6, 514.2, 516.0, 503.7, 484.2]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
PIKK,6,TCN,50.19217311383015,8.89928588510637,33.33333333333333,41.59910914897919,"[444.4883782655297, 444.4883782655297, 444.4883782655297, 444.4883782655297, 444.4883782655297, 444.4883782655297, 444.4883782655297, 444.4883782655297, 444.4883782655297, 444.4883782655297]","[433.2, 450.0, 478.2, 471.4, 504.6, 511.6, 514.2, 516.0, 503.7, 484.2]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
SBER,1,LSTM,8.013636565771664,2.304073047206733,33.33333333333333,45.86935920715332,"[305.5470299209142, 305.5470299209142, 305.5470299209142, 305.5470299209142, 305.5470299209142, 305.5470299209142, 305.5470299209142, 305.5470299209142, 305.5470299209142, 305.5470299209142]","[300.01, 308.12, 312.25, 310.0, 310.16, 316.69, 317.58, 318.18, 314.23, 309.41]",1,['close']
SBER,1,TCN,7.286068019702507,2.0522800474124954,33.33333333333333,41.15466573238373,"[306.5372311613055, 306.5372311613055, 306.5372311613055, 306.5372311613055, 306.5372311613055, 306.5372311613055, 306.5372311613055, 306.5372311613055, 306.5372311613055, 306.5372311613055]","[300.01, 308.12, 312.25, 310.0, 310.16, 316.69, 317.58, 318.18, 314.23, 309.41]",1,['close']
SBER,6,LSTM,8.973608559350412,2.612495499983982,33.33333333333333,48.2319034576416,"[304.33412767361534, 304.33412767361534, 304.33412767361534, 304.33412767361534, 304.33412767361534, 304.33412767361534, 304.33412767361534, 304.33412767361534, 304.33412767361534, 304.33412767361534]","[300.01, 308.12, 312.25, 310.0, 310.16, 316.69, 317.58, 318.18, 314.23, 309.41]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
SBER,6,TCN,9.661117272312385,2.8228770414988307,33.33333333333333,42.14314115047455,"[303.50678114875694, 303.50678114875694, 303.50678114875694, 303.50678114875694, 303.50678114875694, 303.50678114875694, 303.50678114875694, 303.50678114875694, 303.50678114875694, 303.50678114875694]","[300.01, 308.12, 312.25, 310.0, 310.16, 316.69, 317.58, 318.18, 314.23, 309.41]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
VKCO,1,LSTM,24.35151385511574,7.873961717627728,44.44444444444444,22.71404435634613,"[249.4618425338681, 249.4618425338681, 249.4618425338681, 249.4618425338681, 249.4618425338681, 249.4618425338681, 249.4618425338681, 249.4618425338681, 249.4618425338681, 249.4618425338681]","[248.3, 255.3, 274.4, 272.5, 272.8, 283.6, 282.8, 283.6, 272.9, 263.8]",1,['close']
VKCO,1,TCN,16.741607237738716,5.4683536721803305,44.44444444444444,21.73005404472351,"[258.70457756306416, 258.70457756306416, 258.70457756306416, 258.70457756306416, 258.70457756306416, 258.70457756306416, 258.70457756306416, 258.70457756306416, 258.70457756306416, 258.70457756306416]","[248.3, 255.3, 274.4, 272.5, 272.8, 283.6, 282.8, 283.6, 272.9, 263.8]",1,['close']
VKCO,6,LSTM,30.5152521753614,10.287804408969556,44.44444444444444,24.236221981048583,"[242.67904282468726, 242.67904282468726, 242.67904282468726, 242.67904282468726, 242.67904282468726, 242.67904282468726, 242.67904282468726, 242.67904282468726, 242.67904282468726, 242.67904282468726]","[248.3, 255.3, 274.4, 272.5, 272.8, 283.6, 282.8, 283.6, 272.9, 263.8]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
VKCO,6,TCN,20.498518109113405,6.579560440386525,44.44444444444444,21.230991697311403,"[253.93877950820487, 253.93877950820487, 253.93877950820487, 253.93877950820487, 253.93877950820487, 253.93877950820487, 253.93877950820487, 253.93877950820487, 253.93877950820487, 253.93877950820487]","[248.3, 255.3, 274.4, 272.5, 272.8, 283.6, 282.8, 283.6, 272.9, 263.8]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
VTBR,1,LSTM,8.266366626952191,7.251857579829927,22.22222222222222,35.060322403907776,"[81.8262781351398, 81.8262781351398, 81.8262781351398, 81.8262781351398, 81.8262781351398, 81.8262781351398, 81.8262781351398, 81.8262781351398, 81.8262781351398, 81.8262781351398]","[83.3, 85.39, 86.32, 85.4, 85.52, 87.24, 87.84, 87.93, 98.55, 97.3]",1,['close']
