ticker,stage,rmse,mape,da,feature_count,predictions_count,model,api_type
LKOH,7,100.79595726019969,1.2392274785331256,55.55555555555556,797,10,Claude-Haiku,openrouter
MOEX,7,4.485659371820375,1.9762504865208184,44.44444444444444,797,10,Claude-Haiku,openrouter
NVTK,7,40.77332461303588,2.7547915709547692,44.44444444444444,797,10,Claude-Haiku,openrouter
PIKK,7,20.07701397120598,3.2255066086023936,44.44444444444444,797,10,Claude-Haiku,openrouter
SBER,7,5.391777999880921,1.3648291597279416,33.33333333333333,797,10,Claude-Haiku,openrouter
VKCO,7,8.924852939964886,2.759354289394835,44.44444444444444,797,10,Claude-Haiku,openrouter
VTBR,7,5.067642449897191,3.179189514947382,44.44444444444444,797,10,Claude-Haiku,openrouter
X5,7,57.89948186296662,2.0197877619136455,33.33333333333333,797,10,Claude-Haiku,openrouter
YDEX,7,75.99276281331005,1.4504573557330058,33.33333333333333,797,10,Claude-Haiku,openrouter
AFLT,7,1.6991203606572431,2.0682316498642224,33.33333333333333,797,10,DeepSeek-Chat,deepseek
LKOH,7,101.0751651000383,1.1785483232430127,55.55555555555556,797,10,DeepSeek-Chat,deepseek
MOEX,7,4.613662319676199,1.9156614675836403,33.33333333333333,797,10,DeepSeek-Chat,deepseek
NVTK,7,38.651856359041794,2.4739783305878955,44.44444444444444,797,10,DeepSeek-Chat,deepseek
PIKK,7,16.53553748748436,2.7199316333162296,55.55555555555556,797,10,DeepSeek-Chat,deepseek
SBER,7,5.263800908089138,1.3836769435626308,44.44444444444444,797,10,DeepSeek-Chat,deepseek
VKCO,7,8.674906339552038,2.620580617770825,33.33333333333333,797,10,DeepSeek-Chat,deepseek
VTBR,7,3.4324102318924505,2.1625532150588986,44.44444444444444,797,10,DeepSeek-Chat,deepseek
X5,7,59.388551085204966,2.014875156842253,33.33333333333333,797,10,DeepSeek-Chat,deepseek
YDEX,7,79.86680317879262,1.5806594866591785,33.33333333333333,797,10,DeepSeek-Chat,deepseek
AFLT,7,2.0461207198012525,2.422120665424788,44.44444444444444,797,10,GigaChat,gigachat
LKOH,7,215.05973481802678,2.506818200404971,33.33333333333333,797,10,GigaChat,gigachat
MOEX,7,6.749590357940245,3.0423748994073074,44.44444444444444,797,10,GigaChat,gigachat
NVTK,7,52.15779989608455,3.5272933452368274,44.44444444444444,797,10,GigaChat,gigachat
PIKK,7,42.631421041293024,7.434075175953423,44.44444444444444,797,10,GigaChat,gigachat
SBER,7,7.422608032221561,1.9875681753987307,55.55555555555556,797,10,GigaChat,gigachat
VKCO,7,17.165005680162192,5.783492029349504,44.44444444444444,797,10,GigaChat,gigachat
VTBR,7,4.637021673445143,3.547698732406431,66.66666666666666,797,10,GigaChat,gigachat
X5,7,81.59886641369474,3.2063113619183112,22.22222222222222,797,10,GigaChat,gigachat
YDEX,7,93.5063596232899,1.7814628733322049,44.44444444444444,797,10,GigaChat,gigachat
AFLT,7,2.9336632390238635,3.4304960795995223,33.33333333333333,797,10,GPT-4o-mini,openrouter
LKOH,7,162.73828682888364,2.0671979798108975,55.55555555555556,797,10,GPT-4o-mini,openrouter
MOEX,7,8.92547477728776,3.9461585051262107,44.44444444444444,797,10,GPT-4o-mini,openrouter
NVTK,7,78.83363964704408,5.544980231257347,33.33333333333333,797,10,GPT-4o-mini,openrouter
PIKK,7,24.435118170371116,4.252438166739537,44.44444444444444,797,10,GPT-4o-mini,openrouter
SBER,7,10.216476887851316,2.829157536553692,55.55555555555556,797,10,GPT-4o-mini,openrouter
VKCO,7,22.056291619399673,7.036150483720752,33.33333333333333,797,10,GPT-4o-mini,openrouter
VTBR,7,8.808363639178388,9.393370876195654,66.66666666666666,797,10,GPT-4o-mini,openrouter
X5,7,57.68080269899163,1.8756110421506544,44.44444444444444,797,10,GPT-4o-mini,openrouter
YDEX,7,79.44148947495886,1.5576809683650652,77.77777777777779,797,10,GPT-4o-mini,openrouter
