ticker,stage,model,rmse,mape,da,time,predictions,actual,features_count,features
MOEX,6,CatBoostModel,5.077810389297487,2.1816694413675903,44.44444444444444,10.601787114143372,"[196.9366243760482, 192.6993682065649, 197.1467940088948, 209.6912005581089, 204.4061235284924, 209.95415677930447, 208.09607237796183, 210.55785888161347, 205.58133507737497, 207.17807254890047]","[191.61, 197.45, 206.39, 205.01, 209.57, 208.02, 207.16, 207.87, 203.68, 199.6]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
MOEX,6,RegressionModel,4.669275587711602,1.6925238541559553,55.55555555555556,22.090251207351685,"[194.11230000000003, 192.217, 195.12950000000015, 206.5407999999999, 204.71520000000004, 207.44200000000012, 207.43610000000004, 207.55030000000005, 207.06190000000007, 204.04009999999994]","[191.61, 197.45, 206.39, 205.01, 209.57, 208.02, 207.16, 207.87, 203.68, 199.6]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
NVTK,1,RandomForest,37.02599365850965,2.3422793968203366,33.33333333333333,2.6079941749572755,"[1190.4999999999993, 1186.3779999999992, 1220.2879999999996, 1198.1419999999996, 1243.7120000000004, 1252.4240000000002, 1247.3500000000008, 1251.1680000000003, 1325.317999999999, 1264.8520000000008]","[1190.2, 1219.8, 1193.0, 1237.0, 1244.8, 1235.4, 1249.0, 1314.6, 1266.2, 1214.6]",1,['close']
NVTK,1,XGBModel,32.81031587835963,2.0704236750985805,55.55555555555556,0.13095483779907227,"[1182.594482421875, 1179.876708984375, 1200.540771484375, 1210.640380859375, 1243.029541015625, 1233.7698974609375, 1229.43212890625, 1260.4854736328125, 1319.6676025390625, 1261.3536376953125]","[1190.2, 1219.8, 1193.0, 1237.0, 1244.8, 1235.4, 1249.0, 1314.6, 1266.2, 1214.6]",1,['close']
NVTK,1,CatBoostModel,39.949489188330794,2.6664848802905827,66.66666666666666,1.9683165311813355,"[1138.767056334238, 1164.3676322591175, 1194.83573587456, 1208.1675277230079, 1221.5964447773215, 1245.8621471354963, 1248.0660339238686, 1251.3013874940589, 1303.3230108865973, 1272.6798960057895]","[1190.2, 1219.8, 1193.0, 1237.0, 1244.8, 1235.4, 1249.0, 1314.6, 1266.2, 1214.6]",1,['close']
NVTK,1,RegressionModel,37.02599365850965,2.3422793968203366,33.33333333333333,2.625535774230957,"[1190.4999999999993, 1186.3779999999992, 1220.2879999999996, 1198.1419999999996, 1243.7120000000004, 1252.4240000000002, 1247.3500000000008, 1251.1680000000003, 1325.317999999999, 1264.8520000000008]","[1190.2, 1219.8, 1193.0, 1237.0, 1244.8, 1235.4, 1249.0, 1314.6, 1266.2, 1214.6]",1,['close']
NVTK,6,RandomForest,40.71742925578656,2.9623083609288403,44.44444444444444,22.056089186668395,"[1138.3440000000007, 1173.2500000000002, 1205.9200000000003, 1196.0059999999999, 1228.66, 1257.638, 1235.0760000000002, 1259.9300000000003, 1310.1759999999997, 1277.878]","[1190.2, 1219.8, 1193.0, 1237.0, 1244.8, 1235.4, 1249.0, 1314.6, 1266.2, 1214.6]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
NVTK,6,XGBModel,40.89415309662224,2.725386013480503,44.44444444444444,1.128394651412964,"[1154.134521484375, 1178.4080810546875, 1188.4986572265625, 1185.32275390625, 1234.7685546875, 1241.682373046875, 1235.4971923828125, 1241.125, 1313.5743408203125, 1269.8555908203125]","[1190.2, 1219.8, 1193.0, 1237.0, 1244.8, 1235.4, 1249.0, 1314.6, 1266.2, 1214.6]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
NVTK,6,CatBoostModel,48.75603257521881,3.511568834146788,44.44444444444444,11.413276624679565,"[1123.5458700379259, 1173.3432305978974, 1209.1993162948734, 1176.5755442897282, 1218.246379002099, 1253.1056571906126, 1221.273655741361, 1227.0402807382582, 1311.9637029519536, 1255.9353815574857]","[1190.2, 1219.8, 1193.0, 1237.0, 1244.8, 1235.4, 1249.0, 1314.6, 1266.2, 1214.6]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
NVTK,6,RegressionModel,40.71742925578656,2.9623083609288403,44.44444444444444,21.986702036857604,"[1138.3440000000007, 1173.2500000000002, 1205.9200000000003, 1196.0059999999999, 1228.66, 1257.638, 1235.0760000000002, 1259.9300000000003, 1310.1759999999997, 1277.878]","[1190.2, 1219.8, 1193.0, 1237.0, 1244.8, 1235.4, 1249.0, 1314.6, 1266.2, 1214.6]",20,"['close', 'anomaly', 'weighted_score_with_decay', 'open', 'high', 'low', 'volume', 'EMA_14', 'RSI_14', 'MACD', 'return', 'ATR_14', 'VWAP', 'value__mean', 'value__maximum', 'value__minimum', 'value__standard_deviation', 'value__partial_autocorrelation__lag_3', 'value__autocorrelation__lag_5', 'value__longest_strike_above_mean']"
